id,site,job_url,job_url_direct,title,company,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,description,company_industry,company_url,company_logo,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,skills,experience_range,company_rating,company_reviews_count,vacancy_count,work_from_home_type,source
li-4325171508,linkedin,https://www.linkedin.com/jobs/view/4325171508,,Data Analyst,FPT Software Career,,2025-11-29,fulltime,,,,,,False,mid-senior level,Information Technology,,TrangNTT51@fpt.com,"**Company Description** 




 FPT Corporation is Vietnam's leading technology corporation, founded in September 1988 with Information Technology and Telecommunications at its core. With a revenue nearing $2 billion and a workforce of over 83,000 employees, FPT has a global presence spanning 33 countries and serves over 600 customers worldwide, including more than 100 Fortune 500 companies. Known for its innovative and team\-spirited culture, FPT strives to pioneer new technology trends and reinforce Vietnam's position on the global technology map. For more information, please visit www.fpt.com.
 



  





**Position : Data Analyst** 




*Location : Ho Chi Minh City* 




*Work in office (district 9, F\-town HCM)* 




*We have shuttle bus* 




  





**Company Description** 





 FPT Software, a subsidiary of FPT Corporation, is a global technology and IT services provider headquartered in Vietnam, with USD 1\.22 billion in revenue (2024\) and over 33,000 employees in 30 countries. The company addresses complex business opportunities and challenges with world\-class services in Advanced Analytics, AI, Digital Platforms, Cloud, Hyperautomation, IoT, and Low\-code. FPT Software has partnered with over 1,100 clients worldwide, including more than 130 Fortune Global 500 companies in various industries such as Aviation, Automotive, Banking, Financial Services, Healthcare, Logistics, Manufacturing, and Utilities.
 




  





**Key Responsibilities:** 



* Work directly with clients and end users to clarify business requirements
* Analyze and visualize data to support reporting and decision\-making
* Standardize and model data for analytical purposes
* Design and develop dynamic reports and dashboards using Power BI
* Propose improvements to enhance data reliability, performance, and quality



**Qualifications:** 



* Minimum 3 years of experience in Data Analysis
* Strong communication and presentation skills in English
* Analytical mindset with the ability to handle large datasets
* Proficiency in Power BI
* Solid SQL skills for data querying and manipulation



  





**Benefits** 



* “FPT care” health insurance and is exclusive for FPT employees.
* Annual Summer Vacation: follows company’s policy and starts from May every year
* Salary review: 1 time per year
* International, dynamic, friendly working environment
* Annual leave, working conditions follow Vietnam labor laws.
* Other allowances: lunch allowance, working on\-site allowance, etc.



  





**\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-** 



* *Contact for more detail: TrangNTT51@fpt.com*",IT Services and IT Consulting,https://vn.linkedin.com/company/fptsoftwarecareer,https://media.licdn.com/dms/image/v2/D560BAQEdgMtE6SX4wA/company-logo_100_100/B56Zh3xZ5yHQAY-/0/1754356097587/fptsoftwarecareer_logo?e=2147483647&v=beta&t=ZAOWsT8s3WcS-jwI3qb5Me7yTOT7kxr0IJr4ahvf6KY,,,,,,,,,,,,LinkedIn
li-4325022411,linkedin,https://www.linkedin.com/jobs/view/4325022411,,Marketing Data Analyst,Palfish VietNam,,2025-11-29,fulltime,,,,,,False,entry level,Information Technology,,hr@palfishhcm.com,"**I. MÔ TẢ CÔNG VIỆC** 




**1\. Quản lý dữ liệu \& phân bổ lead:** 



* Thu thập dữ liệu lead từ các kênh Digital/ Performance/ Livestream … và chuẩn hóa thành dữ liệu sạch trước khi phân bổ.
* Quản lý lead: làm sạch, loại bỏ thông tin sai, merge dữ liệu trùng.
* Thiết lập và vận hành quy tắc phân bổ lead theo team Sales.
* Theo dõi lead tồn, lead chưa được phân bổ.
* Xử lý các trường hợp lead trùng giữa các team hoặc giữa các kênh.



**2\.** 

  
 
**Phối hợp Marketing:** 



* Là đầu mối làm việc với team Livestream và Digital để nắm rõ: nội dung livestream, gói sản phẩm/ ưu đãi trong buổi live, target audience, kỳ vọng số lượng lead.
* Sau mỗi buổi livestream/ chiến dịch digital: tổng hợp insight từ sales và đánh giá độ khớp tệp khách hàng.
* Đề xuất tối ưu hóa nội dung, kịch bản livestream hoặc thông điệp marketing dựa trên dữ liệu thực tế.



**3\.** 

  
 
**Điều phối với Sales \& đào tạo sản phẩm** 
 :
 


* Brief Sales trước các chương trình livestream/chiến dịch digital: gói sản phẩm, USP, ưu đãi.
* Hướng dẫn và đào tạo Sales về sản phẩm mới, thay đổi chính sách, combo, giá ưu đãi đặc biệt từ Marketing.
* Đảm bảo Sales nắm rõ loại lead từ mỗi kênh để gắn đúng kịch bản chăm sóc.
* Là cầu nối xử lý các vấn đề vận hành giữa Sales \& Marketing.



  





**II. YÊU CẦU** 



* Từ 2\-3 năm kinh nghiệm Data Operations, Sales Operations, Marketing Operations hoặc CRM Specialist, ưu tiên ngành giáo dục/ Edtech/ B2C.
* Có kinh nghiệm về CRM.
* Có khả năng giao tiếp Tiếng Anh là lợi thế.
* Tư duy hệ thống, kỷ luật dữ liệu, có kinh nghiệm xử lý cơ sở dữ liệu lớn \& trùng lặp.
* Am hiểu vận hành lead từ Marketing.
* Hiểu digital channels \& livestream là một lợi thế.
* Kỹ năng giao tiếp tốt, trung lập, xử lý tranh chấp giữa các team một cách minh bạch và logic.
* Có kinh nghiệm đào tạo nội bộ hoặc xây tài liệu sản phẩm là một điểm cộng.



  





**III. LƯƠNG \& PHÚC LỢI** 



* Mức lương:
 **15\.000\.000 – 25\.000\.000** 
 VND/ tháng tùy theo năng lực và kinh nghiệm.
* Cơ hội phát triển trở thành Lead Operations hoặc Data Operations Manager.
* Trợ cấp ăn trưa, trợ cấp laptop và vé gửi xe tháng.
* Làm việc trong môi trường công ty đa quốc gia.
* 12 ngày nghỉ phép/năm.
* Thưởng các ngày Lễ, Tết theo quy định của công ty .
* Được hưởng các chế độ về BHXH, BHYT, BHTN theo luật Lao động.



  





**IV. ĐỊA ĐIỂM LÀM VIỆC:** 
 Stellar Garden \- Le Van Thiem, Thanh Xuan, Ha Noi
 



  





**V. THỜI GIAN LÀM VIỆC:** 



* Thứ 2 – Thứ 6 \& 2 ngày Thứ 7 cuối tháng
* 8:30 – 18:00 (nghỉ trưa 12:00 – 13:30\)



  





**VI. ỨNG TUYỂN** 



* Email: hr@palfishhcm.com
* Hotline: 0779731677 (HR Department) or 0944 822 468 (Ms. Nhu)",E-Learning Providers,https://www.linkedin.com/company/palfishenglish,https://media.licdn.com/dms/image/v2/D560BAQGdT8yI9k4VrA/company-logo_100_100/B56ZkYE3IyHQAU-/0/1757045553653/palfishenglish_logo?e=2147483647&v=beta&t=aCCwI9YnYZjJyWrozM9wQVff23vfSOmtuy5ygcigL-0,,,,,,,,,,,,LinkedIn
li-4347388408,linkedin,https://www.linkedin.com/jobs/view/4347388408,,Sr Data Scientist,Hasaki.vn,,2025-11-29,fulltime,,,,,,False,mid-senior level,Information Technology,,thuyntt9@hasaki.vn,"**JOB DESCRIPTION** 




 You will be responsible for building and deploying Machine Learning models focused on customer retention prediction and personalized product recommendation for Hasaki’s eCommerce platform. This role has a direct impact on reducing churn, increasing customer lifetime value (LTV), and enhancing the overall shopping experience.
 



  





**KEY RESPONSIBILITIES** 



* Develop churn prediction models and identify high\-risk customer segments.
* Build personalized product recommendation systems based on user behavior, purchase history, and contextual signals.
* Collaborate with CDP \& Marketing teams to design retention campaigns powered by predictive insights.
* Design and run A/B tests to evaluate model effectiveness (retention uplift, CTR, conversion rate).
* Ensure models deliver measurable business value (e.g., churn reduction, LTV growth, repeat purchase uplift).
* Work closely with Product, BI, and CDP teams to translate insights into actionable strategies.



  





**REQUIREMENTS** 



* **3 \- 5 years of experience in Data Science,** 
 eCommerce or CDP experience is preferred;
* **Proficiency in Python** 
 (Pandas, scikit\-learn; TensorFlow/ PyTorch is a plus);
* Strong knowledge of: Customer retention modeling and churn prediction, Recommendation systems (Collaborative Filtering, Content\-based, Hybrid), Clustering, segmentation, and uplift modeling;
* Hands\-on experience deploying models into production and monitoring real\-world performance;
* Strong analytical and statistical skills, including A/B test design and evaluation;



  





**BENEFITS** 



* Salary range: Open to negotiate;
* 13th\-month salary, annual salary review;
* Insurance will be paid according to company policy;
* Working devices provided, parking fee allowance (if any);



  





**WORKING PLACE:** 
 568 Luy Ban Bich St., Tan Phu Ward, Ho Chi Minh City
 



  





 If you need any further information, contact me via
 **Telegram (callmeEvelynnn)** 
 or shoot me your CV at
 **thuyntt9@hasaki.vn** 
 to apply.
 



  





***\*\*\*Please note that only shortlisted candidates will be contacted. Thanks for your concern. ^^***",Retail Health and Personal Care Products,https://vn.linkedin.com/company/hasaki-vn,https://media.licdn.com/dms/image/v2/C510BAQGh6b0RrXr-ZA/company-logo_100_100/company-logo_100_100/0/1630604811321?e=2147483647&v=beta&t=kTvkZTeYjPVjsuqkB6wCh-sIgIaGV3_hyCtKTW5dL0g,,,,,,,,,,,,LinkedIn
li-4347397748,linkedin,https://www.linkedin.com/jobs/view/4347397748,,Business Analyst,Hasaki.vn,,2025-11-29,fulltime,,,,,,False,mid-senior level,Information Technology,,thuyntt9@hasaki.vn,"**KEY RESPONSIBILITIES** 




***Strategic Requirements \& Product Alignment***



* Collaborate with Product Owner to define and prioritize business requirements across platform, covering OMS, WMS, and marketplace integrations (Shopee, Lazada, TikTok Shop, etc.).
* Translate business objectives into clear user stories, acceptance criteria, and process flows that ensure data consistency and operational scalability.
* Ensure all requirements align with the long\-term product vision and cross\-channel strategy of our product’s ecosystem.



***Stakeholder Engagement \& Influence***



* Work closely with Frontend, Backend, and UI/UX teams to clarify requirements and ensure technical feasibility.
* Partner with business and operation teams to capture real business pain points and convert them into actionable solutions.
* Participate in sprint planning, backlog refinement, and UAT sessions to validate that deliverables meet expected outcomes.



***Process Optimization \& System Thinking***



* Lead end\-to\-end analysis of complex business processes, identifying inefficiencies, risks, and improvement opportunities.
* Propose solutions and process changes with a system\-wide perspective, balancing user experience, technical feasibility, and business goals.
* Contribute to defining KPIs and success metrics for new product features and process improvements.



***Delivery Support \& Quality Assurance***



* Develop and maintain PRDs, FRSs, process maps, and API documentation for internal systems and marketplace integrations.
* Support UAT and regression testing to ensure new releases maintain data integrity and business logic consistency.



  





**REQUIREMENTS** 




***Experience \& Expertise***



* Bachelor’s degree in Business, Information Systems, Supply Chain, or a related field.
* **2 \- 4 years of experience as a Business Analyst or Product Analyst** 
 , preferably in e\-commerce, SaaS, OMS/WMS, or marketplace integration domains.
* Familiarity with order lifecycle management, inventory control, fulfillment, and data synchronization across multiple platforms.
* Proficiency with tools such as Jira, Confluence, and Figma for documentation and
* collaboration.
* Understanding of API integration, data mapping, and system flow design.



***Additional Skills***



* Strong analytical and critical\-thinking skills with a data\-driven mindset.
* Excellent communication skills for bridging technical and non\-technical stakeholders.
* User\-centric thinking with attention to detail and process efficiency.
* Experience with SQL or BI tools for data validation is a plus.



  





**BENEFITS** 



* Salary range: open to negotiate;
* 13th\- month salary, annual performance review;
* Insurance will be paid according to company policy;
* Provide working devices, parking fee allowance (if any);
* Professional, dynamic and friendly working environment and culture;



  





**WORKING PLACE:** 
 568 Luy Ban Bich St., Tan Phu Ward, Ho Chi Minh City
 



  





 If you need any further information, contact me via
 **Telegram (callmeEvelynn)** 
 or shoot me your CV at
 **thuyntt9@hasaki.vn** 
 to apply.
 



  





***\*\*\*Please note that only shortlisted candidates will be contacted. Thanks for your concern. ^^***",Retail Health and Personal Care Products,https://vn.linkedin.com/company/hasaki-vn,https://media.licdn.com/dms/image/v2/C510BAQGh6b0RrXr-ZA/company-logo_100_100/company-logo_100_100/0/1630604811321?e=2147483647&v=beta&t=kTvkZTeYjPVjsuqkB6wCh-sIgIaGV3_hyCtKTW5dL0g,,,,,,,,,,,,LinkedIn
li-4324828722,linkedin,https://www.linkedin.com/jobs/view/4324828722,,"Business Intelligence & Planning, ShopeeFood",Shopee,,2025-11-28,fulltime,,,,,,False,associate,Analyst,,,"**Mô tả công việc:** 



* Manage KPIs and incentive frameworks / tracking to monitor BD performance.
* Collaborate with PMO, BD, CP, and Fin teams to standardize SOPs for tracking out\-of\-system data (Ads, non\-system investment, welcome package payment...)
* Develop and manage reporting dashboards to support BD teams in performance tracking
* Conduct BD team productivity and performance reviews; provide actionable insights to BD leadership.
* Deliver data analysis and support for decision\-making.







**Yêu cầu công việc:** 



* 1–2 years of experience in Data Analysis, Business Analysis, or Business Intelligence.
* Hands\-on experience with SQL and data crawling tools.
* Proficiency in Microsoft Office and Google Sheets.
* Experience in food delivery or e\-commerce industries preferred.
* Strong project management and communication skills.
* Data\-driven mindset with the ability to translate insights into actions.
* Ability to perform well under pressure in a fast\-paced environment.
* Responsible, collaborative team player with a growth mindset.",Software Development,https://sg.linkedin.com/company/shopee,https://media.licdn.com/dms/image/v2/C560BAQE0iX_dgdH7nA/company-logo_100_100/company-logo_100_100/0/1672279162763/shopee_logo?e=2147483647&v=beta&t=SWHj8amyrLFDHnAHrTUM5qgh2VVhjOcjV2XdwgfwoFg,,,,,,,,,,,,LinkedIn
li-4347941798,linkedin,https://www.linkedin.com/jobs/view/4347941798,,(Intermediate/Senior) Data Analyst- $55K/year,Crossian,,2025-11-28,fulltime,,,,,,False,mid-senior level,Marketing and Product Management,,,"Join our
 **Technology Innovations Center of Excellence (CoE)** 
 at
 **Crossian** 
 , a
 **fast\-growing startup that achieved a milestone of $100M in 2024** 
 . In this dynamic role, you'll check in daily with your team to stay aligned on project goals and collaborate across our ecosystem with an
 **Agile mindset** 
 infused with a
 **unicorn\-worthy startup culture** 
 .
 



 We are building a cutting\-edge
 **Global eCommerce Platform** 
 , offering end\-to\-end solutions for:
 


* **Storefront** 
 : Designing customizable and scalable online store systems that provide seamless shopping experiences and support dynamic business growth.
* **Ads Manager** 
 : Integrating and optimizing advertising tools across platforms like
 **Facebook, Google** 
 and more, enabling businesses to launch, track, and analyze marketing campaigns efficiently.
* **Marketing Insights \& CRM** 
 : Turning raw data from marketing campaigns, transactions, and user behavior into actionable insights to enhance customer engagement and drive smarter decision\-making.



  









**Responsibilities** 




 As a Data Analyst, you will be responsible for the following tasks and duties:
 



**Strategic Analysis \& Insight Generation** 
 :
 


* *Collect, clean, and analyze* 
 data from diverse sources, including user behavior metrics, campaign performance metrics, and customer engagement metrics.
* Manage data from A/B testing, including user tracking event data, aggregating and splitting it into multiple versions for analysis.
* Develop hypotheses and provide actionable insights to improve storefront experiences, optimize ad campaigns, enhance customer retention strategies, and evaluate the effectiveness of new features or content through AB testing.
* When comparing versions in AB testing, provide the confidence level of the results, determine the required number of views (users) and duration for the test to achieve statistically significant outcomes.
 **Define the Definition of Done (DoD)** 
 for the two versions A and B in the experiments.
* Utilize data visualization techniques to create charts and dashboards that communicate key trends and support decision\-making for cross\-functional teams.



**Dashboard \& BI Development** 
 :
 


* Build and maintain real\-time BI dashboards to track critical metrics such as conversion rates, customer lifetime value, and results from A/B tests.
* Assist in the creation of a self\-service BI system, enabling teams to explore data and generate reports tailored to their needs, including monitoring and analyzing A/B tests.



**Data Management \& Integration** 
 :
 


* Define and manage data schemas for eCommerce\-specific objects (e.g., product catalogs, tracking user events) and data from A/B tests to optimize data accessibility for analysis.
* Ensure the data warehouse maintains high data quality standards, is optimized for performance, and meets the needs of our global platform, including supporting analyses from A/B testing



**Team Collaboration:** 



* *Collaboration with Team Members:* 
 Work closely with team members to comprehend data requirements and deliver appropriate data solutions to meet business needs.
* *Cross\-functional Collaboration:* 
 Engage with cross\-functional teams to support and facilitate data\-driven decision\-making throughout the organization.
* By undertaking these responsibilities, you will play a crucial role in driving data\-informed decisions and strategies, ultimately contributing to the success and growth of our organization.



  





**Qualifications** 




  




* **Educational Background** 
 : Bachelor's degree preferred in Data Science, Computer Science, Mathematics, Statistics, or a related field.
* **Professional Experience** 
 : At least 3 years working in a DA role
* **Technical Proficiency** 
 : Expertise in SQL, Python and BI tools, along with a strong understanding of data modeling, data warehousing, and real\-time data monitoring. Familiarity with cloud technologies and DevOps practices is essential.
* **Database Management** 
 : Understanding the principles of database management and being able to perform exploratory data analysis is essential.
* **Analytical Skills** 
 : Strong ability to analyze datasets and utilize data visualization techniques to derive meaningful insights.
* **Communication Skills** 
 : Strong verbal and written communication skills, capable of presenting data insights clearly and contributing to decision\-making processes.
* **Innovative Thinking** 
 : Ability to keep pace with industry trends in data analytics methodologies and tools, applying this knowledge to drive the business forward.
* **English proficiency**","Technology, Information and Media, Banking, and Food and Beverage Services",https://vn.linkedin.com/company/crossian,https://media.licdn.com/dms/image/v2/D560BAQEZitkciXo7RQ/company-logo_100_100/company-logo_100_100/0/1700105744046/crossian_logo?e=2147483647&v=beta&t=oZsyfd1E_6VPz3bJniGaCzPqC-BPYlbd1vtoYWxtP74,,,,,,,,,,,,LinkedIn
li-4339470546,linkedin,https://www.linkedin.com/jobs/view/4339470546,,Tester mảng Data,The Value Maximizer,"Hanoi, Hanoi, Vietnam",2025-11-28,fulltime,,,,,,False,entry level,Other,,,"**Mô tả công việc** 
 \- Thiết kế, coding và kiểm thử hệ thống hoặc chức năng sau khi hoàn thành.\- Xây dựng kế hoạch và quản lý tiến độ lập trình theo kế hoạch. \- Nghiên cứu nắm bắt công nghệ mới.\- Tham gia các khóa đào tạo liên quan tới công việc do Công ty tổ chức.
   

  

**Yêu cầu tuyển dụng** 
 \- Trình độ học vấn: Tốt nghiệp đại học trở lên chuyên ngành Khoa học Máy tính, Khoa học Dữ liệu, Công nghệ Thông tin hoặc các ngành liên quan đến dữ liệu.\-
 **2 năm kinh nghiệm ở vị trí Tester** 
 \- Kiến thức nền tảng về dữ liệu: Nắm vững các khái niệm về dữ liệu, cơ sở dữ liệu và quy trình xử lý dữ liệu.\- Kinh nghiệm dự án: Đã tham gia các dự án liên quan đến Data Warehouse hoặc Data Lake, có khả năng xây dựng chiến lược kiểm thử, lập kế hoạch kiểm thử và thiết kế test case cho kiểm tra dữ liệu.\- Kỹ năng SQL: Thành thạo SQL, có khả năng viết và tối ưu hóa các test script phức tạp để kiểm tra dữ liệu.\- Hiểu biết về chất lượng dữ liệu và quản trị dữ liệu: Có kiến thức về Data Quality và ETL testing.\- Phân tích dữ liệu: Có khả năng phân tích dữ liệu để phát hiện lỗi, sai lệch hoặc các vấn đề tiềm ẩn.\- Kiểm thử tự động: Có kinh nghiệm xây dựng và triển khai các quy trình kiểm thử dữ liệu tự động.\- Kiểm thử API và hiệu năng: Có kinh nghiệm kiểm thử API, kiểm thử performance và thực hiện automation cho API testing. \- Thành thạo các công cụ như Postman, Jmeter hoặc tương đương...
 ***Nice to Have***
 \- Hiểu biết về lĩnh vực ngân hàng: Ưu tiên ứng viên có kinh nghiệm kiểm thử dữ liệu trong các hệ thống tài chính hoặc ngân hàng.\- Ưu tiên ứng viên đã làm việc với AWS Cloud\- Chứng chỉ chuyên môn: Có các chứng chỉ liên quan đến dữ liệu hoặc kiểm thử như ISTQB, Data Analyst, v.v.\- Kỹ năng lập trình: Biết sử dụng một hoặc nhiều ngôn ngữ như Python, R,... để hỗ trợ kiểm thử và xử lý dữ liệu.
   

  

**Chế độ đãi ngộ chung** 
 \- Mức Lương: Up to 24M NET\- Lương tháng 13, thưởng dự án, thưởng thâm niên,\- Ứng viên Onboard trong vòng 15 ngày kể từ ngày ký sẽ được bonus 2\.000\.000 VND\- Bảo hiểm đóng sau 02 tháng thử việc. Đầy đủ chế độ BHXH, BHYT theo quy định của Nhà nước. \- Review năng lực, xem xét lại đãi ngộ 2 lần/ năm \- Tham gia các buổi đào tạo nâng cao chuyên môn, nghiệp vụ, giới thiệu xu hướng công nghệ mới do Công ty tổ chức\- Chế độ sinh nhật, sinh con, hiếu hỷ, ngày lễ,...\- 12 phép/ năm, cứ thâm niên 1 năm được thêm 1 ngày.\- Hỗ trợ 100% vé tháng gửi xe \- Teambuilding, du lịch nghỉ mát 1 lần/ năm\- Cơ hội làm việc với khách hàng lớn Viettel, Vp bank, MSB...",IT Services and IT Consulting,https://vn.linkedin.com/company/the-value-maximizer,https://media.licdn.com/dms/image/v2/C560BAQFQlS1u4mikHQ/company-logo_100_100/company-logo_100_100/0/1679561982486/the_value_maximizer_logo?e=2147483647&v=beta&t=WFle2B8eNGE3ce1__YExhJZmD-S_bp3Yw6zqROG0V0Y,,,,,,,,,,,,LinkedIn
li-4347962283,linkedin,https://www.linkedin.com/jobs/view/4347962283,,Data Engineer Executive,TH Food Chain,"Hanoi, Hanoi, Vietnam",2025-11-28,fulltime,,,,,,False,entry level,Information Technology,,,"Tìm việc làm tương tự:
   

  

 Xem tất cả việc làm, THFC\_Tất Cả Việc Làm, THFC\_Công Nghệ Thông Tin, Công nghệ thông tin",Food and Beverage Manufacturing,https://vn.linkedin.com/company/thfoodchain,https://media.licdn.com/dms/image/v2/D560BAQH_FC_742mCPg/company-logo_100_100/company-logo_100_100/0/1708510951831/thfoodchaincareers_logo?e=2147483647&v=beta&t=IqO7Do5t9xvYZRpnBGL5_gh78OVBhSzu2i3ux79tomk,,,,,,,,,,,,LinkedIn
li-4324639150,linkedin,https://www.linkedin.com/jobs/view/4324639150,,Junior Data Engineer,"QH Distribution, Inc.","Ho Chi Minh City, Vietnam",2025-11-28,fulltime,,,,,,False,internship,Information Technology,,_vn@qhdistribution.com,"**QH Distribution Vietnam is a member of QH Distribution Inc., established in San Diego, CA, with over 36 years of expertise in distribution, import, wholesale and logistics. Serving more than 40 countries, we connect suppliers with customers worldwide, offering tailored solutions and support through offices in California, Mexico, Vietnam and Malaysia.** 




  





**What You’ll Be Doing:** 






**Role Objective:** 





 \-     Support the development and operation of data infrastructure.
 





 \-     Build Dashboards and reports to support business operations.
 




**Key Responsibilities:** 





 \-     Perform basic ETL/ELT processes: collect, clean, transform, and standardize data from multiple sources (ERP, Microsoft Excel, Google Sheets, APIs, ...).
 





 \-     Write and optimize SQL for building tables, views, data validation, and data standardization.
 





 \-     Conduct data quality checks (data validation, anomaly detection ...).
 





 \-     Build data pipelines and participate in designing data models (staging, dimension, fact...).
 





 \-     Develop and maintain business dashboards/reports (Looker Studio).
 





 \-     Collaborate with other teams to clarify data requirements and improve data processes
 





                                                                                                                                                
 




**Who We’re Looking For:** 





 \-     College/University degree in Information Technology, Information Systems, or related fields.
 





 \-     Proficiency in SQL.
 





 \-     Knowledge or experience with Microsoft SQL Server, Google BigQuery, and Looker Studio.
 





 \-     Understanding of ETL/ELT, Data warehouse concepts, Data modeling (star/snowflake schema), API fundamentals.
 





 \-     Knowledge of one or more programming languages: Python, Google Apps Script, VBA.
 





 \-     Strong soft skills.
 





 \-     High attention to detail and discipline in data quality management.
 





 \-     Ability to work under pressure: acceptable error tolerance is limited to 1\-2 mistakes per month for assigned tasks.
 









**Why You’ll Love Working Here:** 





 \-     Salary: 8\.000\.000 – 10\.000\.000 VND
 





 \-     Hybrid working
 





 \-     Laptop to be provided
 





 \-     Performance Review (2 times per year)
 





 \-     Annual health check, annual travel
 





 \-     Year\-end bonus
 





 \-     Work in an international, collaborative, fair, and dynamic environment
 





 \-     Working time: Monday to Friday, 8:00 AM – 12:00 PM and 1:30 PM – 5:30 PM.
 





 \-     Office location: Thu Duc
 




  





**How to Apply:** 





 Send your CV to:
 
 hr\_vn@qhdistribution.com
 
 with the subject “Application – \[Position Title]”.",Wholesale,https://www.linkedin.com/company/qhdistribution,https://media.licdn.com/dms/image/v2/D560BAQGzz3ll9xZJ7g/company-logo_100_100/company-logo_100_100/0/1736147748763/qhdistribution_logo?e=2147483647&v=beta&t=s1nERbzoo8PCUuHjsx1nNOCoT7sI99S59nHpgw9axMk,,,,,,,,,,,,LinkedIn
li-4324915956,linkedin,https://www.linkedin.com/jobs/view/4324915956,,Data Engineer,Savvycom - Software Product Development,,2025-11-28,fulltime,,,,,,False,mid-senior level,Information Technology,,,"**Mô tả công việc** 



* Maintain and design relational databases to support enterprise application and physical data modelling according to project requirements for data acquisition and security as well as customer\-defined deliverables.
* Develop strategies for data modeling, design, and implementation to meet stated requirements for Metadata management, Online Transaction Data Stores, Data Lake, Data Marts and Extract Transform Load environments in batch processing and real\-time injection.
* Create and test physical data models for a variety of business data, applications, database structures and metadata tables to meet operational goals for performance and efficiency
* Carrying out day\-to\-day support for reporting system.



  
 



**Yêu cầu ứng viên** 



* At least 03 years of experience in Data Engineering.
* Proficient with some of the modern relational databases such as Oracle, DB2, DynamoDB, Postgres and SQL Server
* Hand\-on experiences AWS DMS, Amazon Kinesis Data Stream, S3, Glue and Glue Jobs
* Hand\-on experiences on designing and developing ETL solution by using AWS Glue and SSIS or other ETL tools
* Strong in writing T\-SQL, PL/SQL Good understanding of Data Modelling, processing, and warehouse techniques
* Skilled at optimizing large, complicated SQL statements Capable of troubleshooting common database issues Knowledge at reporting development with SSRS and Power BI
* Good written and oral communication skills in English.
* Have leadership experience is a plus



  





**Quyền lợi** 



* Salary review twice a year.
* Receive social insurance according to Vietnamese Government regulations.
* Working in a young and professional environment. Direct contact with English\-speaker foreign clients.
* Friendly \& Open working environment (daily tea break, weekly sports time, monthly outdoor activity, annual holiday).
* Support English courses, sport activities \& other team building activities.
* Obtain guidance and awareness of advanced technologies.
* Receive overtime\-working allowance.
* Working hours: 5 days/week (Monday to Friday).",IT Services and IT Consulting,https://vn.linkedin.com/company/savvycomsoftware,https://media.licdn.com/dms/image/v2/C560BAQEDhw9ua6ni0A/company-logo_100_100/company-logo_100_100/0/1651656151879/savvycomsoftware_logo?e=2147483647&v=beta&t=lw3PC0tjY04fAheqKHNiebY661EKVkLzWhnk5tqsFyo,,,,,,,,,,,,LinkedIn
